# Real gene-disease clinical validity associations.
#
# Source 1: ClinGen Gene-Disease Validity curations (clingen_gene_validity.csv), downloaded from
#   https://search.clinicalgenome.org/kb/gene-validity/download
# Version: 2026-08-27 (ClinGen's own 'FILE CREATED:' date; ClinGen is a living curation, not a tagged release)
# Licence: CC0 1.0 Universal (public domain); ClinGen requests attribution and the date accessed.
#   See https://clinicalgenome.org/docs/terms-of-use/
# Source 2: EBI Gene2Phenotype (G2P) developmental-disorder panel export (DDG2P.csv), downloaded from
#   https://www.ebi.ac.uk/gene2phenotype/api/panel/DD/download/
# Version: 2026-08-28 (accessed-on date; this G2P export does not embed a dataset release/version string of its own)
# Licence: EBI Gene2Phenotype terms -- freely available for use, with attribution requested. See https://www.ebi.ac.uk/gene2phenotype/about/project
# 2869 associations across 2561 genes. confidence values seen: definitive=1482; disputed=4; limited=357; moderate=272; refuted=2; strong=752.
# hgnc_id is DDG2P's own 'hgnc id' column, prefixed 'HGNC:'; mutation_consequence is DDG2P's 'variant consequence'; inheritance is DDG2P's own 'allelic requirement' vocabulary (biallelic_autosomal, monoallelic_autosomal, monoallelic_X_hemizygous, monoallelic_X_heterozygous, monoallelic_X, monoallelic_Y_hemizygous, mitochondrial) -- a DIFFERENT code space from ClinGen's MOI column above; the two are never merged into one vocabulary, only stacked as separate rows distinguished by `source`. classification_date is DDG2P's 'date of last review'; gcep is always empty for DDG2P rows (ClinGen-specific concept); panel is DDG2P's own semicolon-joined sub-panel membership (e.g. 'DD; Eye'), always empty for ClinGen rows.
# disease_id prefers DDG2P's 'disease MONDO' column, falls back to 'disease mim' (prefixed 'OMIM:') when MONDO is blank, and is left EMPTY when both are blank (123 of 2869 rows) -- never a fabricated identifier.
# Gene-symbol cross-check against knowledge/real/gene_panel.tsv (gnomAD): 206 of 2561 DDG2P gene symbols were not found there (171 carry an X-linked/Y-linked allelic requirement and are explained by gene_panel.tsv's chrX/Y coverage gap); remaining sample: AFG2A, AFG2B, BLTP1, CBS, CPAP, CRYAA, DNAAF19, DRC2, DRC4, GBA1, GMNN, H3-3A, HYCC1, LYSET, MIR140, MIR17HG, MIR184, MT-TL1, MT-TP, MYL11, ... (15 more).
# Retrieved: 2026-08-28
# Generator: tools/build_knowledge/build.py (uv run python -m tools.build_knowledge.build)
#
# Every classification from BOTH sources is kept VERBATIM in confidence, including ClinGen's Disputed, Refuted and 'No Known Disease Relationship' and DDG2P's (lower-case) disputed/refuted: curated-and-refuted is real evidence, and dropping it would make absence indistinguishable from refutation (GP-14, generalised). ClinGen values seen in this download: Definitive=2291; Disputed=197; Limited=545; Moderate=455; No Known Disease Relationship=48; Refuted=49; Strong=83.
# inheritance carries ClinGen's own MOI code unmodified for ClinGen rows (AD=autosomal dominant; AR=autosomal recessive; XL=X-linked; SD=semidominant; MT=mitochondrial; UD=undetermined); mutation_consequence is always empty for ClinGen rows -- ClinGen's curation model does not capture this concept.
#
# Gene-symbol cross-check against knowledge/real/gene_panel.tsv (gnomAD): 265 of 3029 ClinGen gene symbols were not found there.
#   192 of those carry an X-linked (XL) MOI record and are explained by gene_panel.tsv's documented chrX/Y coverage gap, not a symbol mismatch.
#   The remaining 73 are mostly mitochondrial genes (gnomAD's nuclear constraint model does not cover mtDNA) and a handful of recent HGNC renames / non-protein-coding loci: AFG2A, AFG2B, BLTP1, CBS, CLXN, COXFA4, CRIPTO, CSF2RA, DNAAF19, DRC2, DRC4, GBA1, GMNN, H3-3A, HYCC1, ICOSLG, IGHM, IGKC, KCNE5, MIR140, ... (53 more).
gene_symbol	hgnc_id	disease_id	disease_name	inheritance	mutation_consequence	confidence	classification_date	gcep	panel	source	version
A2ML1	HGNC:23336	MONDO:0018997	Noonan syndrome	AD		Disputed	2018-06-07T16:00:00.000Z	RASopathy Gene Curation Expert Panel		ClinGen	2026-08-27
A4GALT	HGNC:18149	MONDO:0100587	A4GALT-congenital disorder of glycosylation	AR		Definitive	2025-05-30T17:00:00.000Z	Congenital Disorders of Glycosylation Gene Curation Expert Panel		ClinGen	2026-08-27
AAAS	HGNC:13666	MONDO:0009279	AAAS-related chalasia-addisonianism-alacrima syndrome	biallelic_autosomal	absent gene product	definitive	2025-01-27 14:40:58+00:00		DD; Eye; Skin	DDG2P	2026-08-28
AARS1	HGNC:20	MONDO:0013212	Charcot-Marie-Tooth disease axonal type 2N	AD		Definitive	2024-03-14T16:00:00.000Z	Charcot-Marie-Tooth Disease Gene Curation Expert Panel		ClinGen	2026-08-27
AARS1	HGNC:20	MONDO:0014593	developmental and epileptic encephalopathy, 29	AR		Definitive	2025-12-19T17:00:00.000Z	Leukodystrophy and Leukoencephalopathy Gene Curation Expert Panel		ClinGen	2026-08-27
AARS1	HGNC:20	MONDO:0014593	AARS1-related early-onset epileptic encephalopathy with persistent myelination defect	biallelic_autosomal	absent gene product	strong	2025-01-14 11:24:01+00:00		DD	DDG2P	2026-08-28
AARS1	HGNC:20	MONDO:1010132	AARS1-related leukoencephalopathy	AD		Limited	2025-08-27T17:00:00.000Z	Leukodystrophy and Leukoencephalopathy Gene Curation Expert Panel		ClinGen	2026-08-27
AARS2	HGNC:21022	MONDO:0044970	mitochondrial disease	AR		Definitive	2022-04-18T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
AASS	HGNC:17366	MONDO:0009388	hyperlysinemia	AR		Definitive	2022-10-14T16:00:00.000Z	Aminoacidopathy Gene Curation Expert Panel		ClinGen	2026-08-27
AASS	HGNC:17366	MONDO:0009388	AASS-related hyperlysinemia	biallelic_autosomal	absent gene product	strong	2017-08-21 11:43:32+00:00		DD; Eye	DDG2P	2026-08-28
ABAT	HGNC:23	MONDO:0100062	genetic developmental and epileptic encephalopathy	AR		Moderate	2022-04-19T16:00:00.000Z	Epilepsy Gene Curation Expert Panel		ClinGen	2026-08-27
ABAT	HGNC:23	OMIM:613163	ABAT-related GABA-transaminase deficiency	biallelic_autosomal	absent gene product	definitive	2025-01-14 11:25:13+00:00		DD	DDG2P	2026-08-28
ABCA2	HGNC:32	MONDO:0032930	ABCA2-related intellectual developmental disorder with poor growth and with or without seizures or ataxia	biallelic_autosomal	absent gene product; altered gene product structure; decreased gene product level	moderate	2025-03-05 10:12:50+00:00		DD	DDG2P	2026-08-28
ABCA3	HGNC:33	MONDO:0012582	interstitial lung disease due to ABCA3 deficiency	AR		Definitive	2024-09-17T16:00:00.000Z	Interstitial Lung Disease Gene Curation Expert Panel		ClinGen	2026-08-27
ABCA4	HGNC:34	MONDO:0007932	age related macular degeneration 2	AD		Disputed	2025-03-06T17:00:00.000Z	Retina Gene Curation Expert Panel		ClinGen	2026-08-27
ABCA4	HGNC:34	MONDO:0800406	ABCA4-related retinopathy	AR		Definitive	2022-10-06T16:00:00.000Z	Retina Gene Curation Expert Panel		ClinGen	2026-08-27
ABCB11	HGNC:42	MONDO:0011156	ABCB11-related intrahepatic cholestasis	biallelic_autosomal	absent gene product	definitive	2025-01-21 11:59:58+00:00		DD	DDG2P	2026-08-28
ABCB4	HGNC:45	MONDO:0011214	progressive familial intrahepatic cholestasis type 3	AR		Definitive	2022-11-23T17:00:00.000Z	General Gene Curation Expert Panel		ClinGen	2026-08-27
