# Real gene-to-phenotype (HPO term) annotations, restricted to genes curated in
# knowledge/real/gene_disease.tsv.
#
# Source: HPO gene-to-phenotype annotations (genes_to_phenotype.txt), downloaded
#   from https://github.com/obophenotype/human-phenotype-ontology/releases/latest/download/genes_to_phenotype.txt
# Version: 2026-06-23 (HPO's own release date, read from phenotype.hpoa's '#version:' line)
# Licence: CC BY 4.0 (Human Phenotype Ontology Consortium). The HPO content and its logical relationships may not be altered; cite the HPO project.
# Retrieved: 2026-08-28
# Generator: tools/build_knowledge/build.py (uv run python -m tools.build_knowledge.build)
#
# Restriction and size: the full source file has 332599 rows across many more genes than are curated anywhere in this pipeline. Restricted here to the 3994 gene symbols in knowledge/real/gene_disease.tsv: 3634 of them have HPO annotations (275046 matching source rows, collapsed to 221789 unique (gene, HPO term) pairs below). 360 genes from gene_disease.tsv have ZERO rows here -- this may be a real absence of curated phenotype annotation, or gene-symbol drift between sources; this generator does not attempt to tell the two apart. Unmatched sample: ABCC4, ACADL, ACOX2, ACTL6A, ADAMTS9, AGPAT3, AGTR2, ALG10, ANKZF1, AQP1, ARF3, ARHGAP35, ARHGEF28, ARHGEF6, ARL14EP, ARPP21, ATE1, ATG12, ATP13A3, AVPR1A, ... (340 more).
#
# One row per (gene_symbol, hpo_id): the source has one row per (gene, HPO term, DISEASE), since the same phenotype can be annotated via several diseases with different evidence. Collapsed here by preferring a row that carries real frequency data over one recorded as '-', tie-broken deterministically on disease_id -- never averaged or otherwise invented.
#
# TWO QUALIFIERS, TWO COLUMNS (ADR 0021). This table previously wrote HPO's frequency vocabulary into a column named association_strength, which src/mva/phenotype/hpo.py validates as curated clinical validity; the file was unloadable as a result. Frequency and validity are different scientific claims and now have separate columns:
#
# hpo_frequency is HPO's OWN phenotype-FREQUENCY vocabulary (how often the phenotype occurs among cases of the linked disease), carried through VERBATIM. Real HPO frequency terms (quoted from hp.obo):
#   HP:0040280 Obligate       "Always present, i.e. in 100% of the cases."
#   HP:0040281 Very frequent  "Present in 80% to 99% of the cases."
#   HP:0040282 Frequent       "Present in 30% to 79% of the cases."
#   HP:0040283 Occasional     "Present in 5% to 29% of the cases."
#   HP:0040284 Very rare      "Present in 1% to 4% of the cases."
# A row may instead carry a raw fraction ('n/m' cases) or a percentage recorded directly in the source. An EMPTY cell means the source recorded '-' (frequency not stated) -- unmeasured, not "never occurs" (GP-14). HP:0040285 (Excluded, 0% -- i.e. NOT part of the disease) is a NEGATED annotation, not an association: such rows are dropped here rather than rendered with an empty frequency, which would be indistinguishable from 'not stated'. 0 source rows were dropped for this reason (HPO's own genes_to_phenotype.txt build already excludes negated annotations, so this count is expected to be 0 -- it is measured, not assumed).
#
# association_strength is curated gene-disease CLINICAL VALIDITY -- how confident an expert panel is that variation in this gene causes disease at all -- and does NOT come from HPO, which records no such judgement. It is the STRONGEST classification found for the gene across knowledge/real/gene_disease.tsv's two sources (ClinGen Gene-Disease Validity and EBI Gene2Phenotype/DDG2P), carried in those sources' own vocabulary, case-folded so ClinGen's 'Definitive' and DDG2P's 'definitive' are one token: definitive, strong, moderate, limited, disputed, refuted, no known disease relationship (strongest first). This mirrors how knowledge/disease/mva_panel.tsv sources its evidence_tier column.
# association_strength_source names WHICH panel supplied that classification. It is a separate column from `source` (always HPO) on purpose: the gene->term annotation and the validity call come from different bodies, and one provenance field covering both would attribute an expert-panel judgement to HPO (GP-31).
# GRANULARITY, STATED: ClinGen and DDG2P curate the (gene, DISEASE) pair; this column reduces to the GENE. A gene curated definitive for one disease and limited for another reads 'definitive' on every row, including the phenotypes annotated via the weaker disease. Joining each HPO annotation to the curation for its own disease was measured and reaches only 75379 of 275046 candidate source rows (27%): HPO annotates against OMIM and ORPHA, ClinGen against MONDO, and no crosswalk between them exists in the downloaded resources. See ADR 0021.
# An EMPTY association_strength means NO curation source classifies the gene -- absent, never a default (GP-14). 0 of 221789 rows (0 genes) are in that state in this build: (none).
#
# src/mva/phenotype/hpo.py reads this file directly: STRENGTH_WEIGHTS carries the vocabulary above, parse_hpo_frequency carries hpo_frequency, and an absent strength is weighted at the explicitly named UNCURATED_ASSOCIATION_WEIGHT rather than at 0.0 (which erases a real annotation) or 1.0 (which invents curation).
gene_symbol	hpo_id	label	association_strength	association_strength_source	hpo_frequency	source	version
A2ML1	HP:0000006	Autosomal dominant inheritance	disputed	ClinGen		HPO	2026-06-23
A2ML1	HP:0000403	Recurrent otitis media	disputed	ClinGen		HPO	2026-06-23
A2ML1	HP:0010982	Polygenic inheritance	disputed	ClinGen		HPO	2026-06-23
A4GALT	HP:0000006	Autosomal dominant inheritance	definitive	ClinGen		HPO	2026-06-23
A4GALT	HP:0010970	Blood group antigen abnormality	definitive	ClinGen		HPO	2026-06-23
AAAS	HP:0000007	Autosomal recessive inheritance	definitive	DDG2P		HPO	2026-06-23
AAAS	HP:0000252	Microcephaly	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0000407	Sensorineural hearing impairment	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0000505	Visual impairment	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0000522	Alacrima	definitive	DDG2P	27/27	HPO	2026-06-23
AAAS	HP:0000648	Optic atrophy	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0000649	Abnormality of visual evoked potentials	definitive	DDG2P		HPO	2026-06-23
AAAS	HP:0000846	Adrenal insufficiency	definitive	DDG2P	15/17	HPO	2026-06-23
AAAS	HP:0000953	Hyperpigmentation of the skin	definitive	DDG2P		HPO	2026-06-23
AAAS	HP:0000972	Palmoplantar hyperkeratosis	definitive	DDG2P		HPO	2026-06-23
AAAS	HP:0000982	Palmoplantar keratoderma	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0001097	Keratoconjunctivitis sicca	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0001249	Intellectual disability	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0001251	Ataxia	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0001252	Hypotonia	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0001260	Dysarthria	definitive	DDG2P		HPO	2026-06-23
AAAS	HP:0001263	Global developmental delay	definitive	DDG2P		HPO	2026-06-23
AAAS	HP:0001278	Orthostatic hypotension	definitive	DDG2P		HPO	2026-06-23
AAAS	HP:0001324	Muscle weakness	definitive	DDG2P		HPO	2026-06-23
AAAS	HP:0001347	Hyperreflexia	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0001531	Failure to thrive in infancy	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0001611	Hypernasal speech	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0001761	Pes cavus	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0001824	Weight loss	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0001943	Hypoglycemia	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0002013	Vomiting	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0002093	Respiratory insufficiency	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0002173	Hypoglycemic seizures	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0002376	Developmental regression	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0002571	Achalasia	definitive	DDG2P	17/17	HPO	2026-06-23
AAAS	HP:0002615	Hypotension	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0003154	Increased circulating ACTH level	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0003487	Babinski sign	definitive	DDG2P		HPO	2026-06-23
AAAS	HP:0003621	Juvenile onset	definitive	DDG2P	8/14	HPO	2026-06-23
AAAS	HP:0003676	Progressive	definitive	DDG2P		HPO	2026-06-23
AAAS	HP:0004319	Decreased circulating aldosterone concentration	definitive	DDG2P	HP:0040284	HPO	2026-06-23
AAAS	HP:0004322	Short stature	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0007002	Motor axonal neuropathy	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0007440	Generalized hyperpigmentation	definitive	DDG2P	HP:0040281	HPO	2026-06-23
AAAS	HP:0007556	Plantar hyperkeratosis	definitive	DDG2P	HP:0040283	HPO	2026-06-23
