# MVA / chromosomal-instability disease panel. Track 1, Rare Disease Real Kid: MVA Hackathon 2026.
# EVERY gene-disease link, identifier and citation in this file was read out of a curated file on disk.
# Sources and their snapshot dates, plus every point where they disagree, are in mva_panel_sources.md.
#   DDG2P (EBI Gene2Phenotype) downloaded 2026-08-27 | ClinGen gene validity, file created 2026-08-27
#   HPO phenotype.hpoa / phenotype_to_genes.txt v2026-06-23 | MANE GRCh38 v1.5 | ClinVar VCF fileDate 2026-08-22
# panel_tier: 1 = established MVA phenotype series and the Orphanet MVA gene set; 2 = broader
#   chromosomal-instability, DNA-repair, centrosome, microcephaly and growth differential; 3 = off-panel (genome-wide).
# evidence_tier is the STRONGEST curated classification found (DDG2P confidence, else ClinGen, else limited/candidate).
#   "candidate" means NO curated gene-disease validity exists in any source above: mechanism only, do not report as causal.
# An empty citation field is deliberate and means no citation exists in the downloaded sources. It is never a placeholder.
# version: 2026-08-28-a
gene_symbol	gene_symbol_aliases	hgnc_id	ensembl_gene_id	ncbi_gene_id	grch38_contig	gene_omim	disease_name	disease_omim	disease_mondo	inheritance	allelic_requirement	mechanism_class	evidence_tier	panel_tier	ddg2p_confidence	clingen_classification	clinvar_plp_n	citation	citation_source	notes
CEP57	KIAA0092|TRANSLOKIN|TSP57	HGNC:30794	ENSG00000166037	9702	chr11	OMIM:607951	CEP57-related mosaic variegated aneuploidy syndrome	OMIM:614114	MONDO:0013582	autosomal_recessive	biallelic_autosomal	centrosome_centriole	definitive	1	definitive	Definitive (mosaic variegated aneuploidy syndrome 2; AR; 2019-11-22)	19	PMID:12116237;PMID:21552266;PMID:24259107	DDG2P.publications+phenotype.hpoa.reference	MVA2. Note HPOA does not annotate HP:0200024 to MVA2, unlike MVA1/MVA3.
CENATAC		HGNC:30460	ENSG00000186166	338657	chr11		Mosaic variegated aneuploidy syndrome 4	OMIM:620153		autosomal_recessive	biallelic_autosomal	minor_spliceosome	limited	1	absent	absent	2	PMID:34009673	phenotype.hpoa.reference	MVA4. Minor-spliceosome component; absent from DDG2P and ClinGen.
BUB1B	BUB1A|BUBR1|MAD3L|SSK1	HGNC:1149	ENSG00000156970	701	chr15	OMIM:602860	BUB1B-related mosaic variegated aneuploidy syndrome	OMIM:257300	MONDO:0009759	autosomal_recessive	biallelic_autosomal	spindle_assembly_checkpoint	definitive	1	definitive	Definitive (mosaic variegated aneuploidy syndrome 1; AR; 2019-11-22)	81	PMID:11169558;PMID:15475955;PMID:16411201;PMID:21190457;PMID:9916837	DDG2P.publications	MVA1. Also OMIM:176430 premature chromatid separation trait. Highest-prior gene in this case.
TRIP13	16E1BP	HGNC:12307	ENSG00000071539	9319	chr5	OMIM:604507	TRIP13-related mosaic variegated aneuploidy and Wilms tumour	OMIM:617598	MONDO:0054736	autosomal_recessive	biallelic_autosomal	spindle_assembly_checkpoint	strong	1	strong	absent	9	PMID:28553959	DDG2P.publications	MVA3 with Wilms tumour (nephroblastoma 6/6 in HPOA).
BUB1	BUB1A|BUB1L|HBUB1	HGNC:1148	ENSG00000169679	699	chr2	OMIM:602452	BUB1-related microcephaly and developmental disorder	OMIM:620183	MONDO:0859342	autosomal_recessive	biallelic_autosomal	spindle_assembly_checkpoint	moderate	1	moderate	Limited (colorectal cancer; AD; 2023-12-20)	6	PMID:35044816	DDG2P.publications	Orphanet lists BUB1 under ORPHA:1052 mosaic variegated aneuploidy; DDG2P curates it as MCPH30.
BUB3		HGNC:1151	ENSG00000154473	9184	chr10		Mosaic variegated aneuploidy syndrome			not_curated	not_curated	spindle_assembly_checkpoint	limited	1	absent	absent	0	ORPHA:1052	phenotype_to_genes.disease_id	Only curated link is ORPHA:1052 mosaic variegated aneuploidy via HPO. No DDG2P/ClinGen entry, 0 ClinVar P/LP.
MAD1L1		HGNC:6762	ENSG00000002822	8379	chr7		Mosaic variegated aneuploidy syndrome 7 with inflammation and tumor predisposition	OMIM:620189		autosomal_recessive	biallelic_autosomal	spindle_assembly_checkpoint	limited	1	absent	absent	8	PMID:36322655	phenotype.hpoa.reference	MVA7 with inflammation and tumour predisposition. Absent from DDG2P and ClinGen.
CEP152	KIAA0912|MCPH9|SCKL5	HGNC:29298	ENSG00000103995	22995	chr15	OMIM:613529	CEP152-related developmental disorder	OMIM:613823	MONDO:0013443	autosomal_recessive	biallelic_autosomal	centrosome_centriole	definitive	2	definitive	Definitive (microcephaly with or without short stature; AR; 2022-06-28)	143	PMID:21131973	DDG2P.publications	Seckel 5 / MCPH9.
CPAP	BM032|CENPJ|CPAP|LAP|LIP1|MCPH6|SAS-4|SASS4|SCKL4	HGNC:17272	ENSG00000151849	55835	chr13	OMIM:609279	CPAP-related developmental disorder	OMIM:608393	MONDO:0012029	autosomal_recessive	biallelic_autosomal	centrosome_centriole	definitive	2	definitive	absent	82	PMID:12843329;PMID:15793586;PMID:16900296;PMID:20522431;PMID:20978018;PMID:22775483	DDG2P.publications+phenotype.hpoa.reference	HGNC-approved symbol for CENPJ (MCPH6, Seckel 4). Annotation tools commonly emit CENPJ.
PCNT	KEN|KIAA0402|PCN|PCNT2|PCNTB|SCKL4	HGNC:16068	ENSG00000160299	5116	chr21	OMIM:605925	PCNT-related microcephalic osteodysplastic primordial dwarfism	OMIM:210720	MONDO:0008872	autosomal_recessive	biallelic_autosomal	centrosome_centriole	definitive	2	definitive	Definitive (microcephalic osteodysplastic primordial dwarfism type II; AR; 2024-08-27)	358	PMID:15372530;PMID:18174396;PMID:19643772;PMID:19839044;PMID:21567919;PMID:24928221;PMID:26231886;PMID:29961235;PMID:30531648;PMID:30922925;PMID:31151966;PMID:32557621;PMID:32671003;PMID:33016782;PMID:33460028;PMID:34331829;PMID:35422036;PMID:37234811	DDG2P.publications	MOPD II. Strong differential: extreme growth restriction plus microcephaly.
