# Real gene-level constraint metrics from gnomAD.
#
# Source: gnomAD gene constraint metrics (gnomad.v4.1.constraint_metrics.tsv), downloaded from
#   https://storage.googleapis.com/gcp-public-data--gnomad/release/4.1/constraint/gnomad.v4.1.constraint_metrics.tsv
# Version: v4.1 (parsed from the source filename; the TSV body carries no version column)
# Retrieved: 2026-08-28
# Licence: public domain (CC0). gnomAD requests attribution/citation to the flagship publication wherever the data are used; no other restriction applies.
#   See https://gnomad.broadinstitute.org/policies
# Generator: tools/build_knowledge/build.py (uv run python -m tools.build_knowledge.build)
#
# One row per gene: gnomAD reports constraint per TRANSCRIPT, so for each gene the MANE Select transcript is preferred, then the canonical transcript, then the lexicographically smallest transcript ID (deterministic tie-break; mirrors mva.annotation.local_tables._consequence_sort_key). Only transcripts carrying an Ensembl gene ID (gene_id starting 'ENSG') are used, so ensembl_gene_id is always populated for an included gene; the gnomAD 'gene' value literally equal to 'NA' (its own missing-gene sentinel) is excluded entirely, not treated as a gene symbol.
#
# pli = lof.pLI, loeuf = lof.oe_ci.upper, mis_z = mis.z_score -- gnomAD's own high-confidence-pLoF-only ('lof.', not the merged 'lof_hc_lc.' set) and sample-size-calibrated ('z_score', not 'z_raw') columns: the same metrics gnomAD's browser shows on a gene's page. A gene with an insufficient expected-variant count for a metric ('NA' in the source) has an EMPTY cell here, NEVER 0 -- an empty LOEUF means unmeasured, not "extremely constrained" (GP-14).
# constraint_flags carries gnomAD's own QC flags for the selected transcript (e.g. no_exp_lof, outlier_mis), comma-separated; empty means no flag was set.
#
# KNOWN COVERAGE GAP in this download (found by inspecting the file, not assumed): it contains autosomal genes (chr1-chr22) ONLY. No chrX or chrY gene appears anywhere in the source (verified directly: e.g. DMD, AR, ATRX, ATP7A, BTK are entirely absent), and the mitochondrial genome has no nuclear-LOFTEE-style constraint model at all. A gene absent from this table may be real and clinically important -- absence here means "not covered by this gnomAD release/download," never "unconstrained."
#
# Accounting: 211523 transcript rows read, 802 with gnomAD's own 'NA' gene sentinel (excluded), 18203 distinct real gene symbols seen, 88 of those have no Ensembl-tagged transcript row at all and are excluded from this table: ADGRF2, ANP32C, BTNL10, C11orf40, C2orf83, C6orf201, C9orf163, C9orf47, CARD17, CENPBD1, CLECL1, CNPY3-GNMT, CRYZL2P-SEC16B, DNAJB3, EEF1AKNMT, ERV3-1-ZNF117, FAM207A, FOLH1B, GPR75-ASB3, KIAA0754, ... (68 more).
# 18115 genes included below.
gene_symbol	ensembl_gene_id	transcript_id	canonical	mane_select	pli	loeuf	mis_z	constraint_flags	source	version
A1BG	ENSG00000121410	ENST00000263100	true	true	1.7706e-16	1.34	-0.86092		gnomAD	v4.1
A1CF	ENSG00000148584	ENST00000373997	true	true	7.656e-10	0.825	1.2373		gnomAD	v4.1
A2M	ENSG00000175899	ENST00000318602	true	true	9.7568e-20	0.765	2.7587		gnomAD	v4.1
A2ML1	ENSG00000166535	ENST00000299698	true	true	1.7127e-40	0.953	1.6571		gnomAD	v4.1
A3GALT2	ENSG00000184389	ENST00000442999	true	true	1.0169e-06	1.529	-4.0799	outlier_mis	gnomAD	v4.1
A4GALT	ENSG00000128274	ENST00000642412	true	true	0.075507	1.393	-0.27835		gnomAD	v4.1
A4GNT	ENSG00000118017	ENST00000236709	true	true	0.019136	1.375	1.064		gnomAD	v4.1
AAAS	ENSG00000094914	ENST00000209873	true	true	8.9231e-16	0.921	0.88677		gnomAD	v4.1
AACS	ENSG00000081760	ENST00000316519	true	true	8.8541e-18	0.967	0.48387		gnomAD	v4.1
AADAC	ENSG00000114771	ENST00000232892	true	true	6.3501e-05	1.126	0.35127		gnomAD	v4.1
AADACL2	ENSG00000197953	ENST00000356517	true	true	6.9637e-08	1.529	0.46695		gnomAD	v4.1
AADACL3	ENSG00000188984	ENST00000359318	true	true	0.0017704	1.25	0.13335		gnomAD	v4.1
AADACL4	ENSG00000204518	ENST00000376221	true	true	0.011751	1.063	0.18346		gnomAD	v4.1
AADAT	ENSG00000109576	ENST00000337664	true	true	0.46289	0.625	2.025		gnomAD	v4.1
AAGAB	ENSG00000103591	ENST00000261880	true	true	1.5706e-08	1.156	-1.0037		gnomAD	v4.1
AAK1	ENSG00000115977	ENST00000409085	true	true	0.99999	0.406	2.6964		gnomAD	v4.1
AAMDC	ENSG00000087884	ENST00000393427	true	true	1.0899e-05	1.571	0.17107		gnomAD	v4.1
AAMP	ENSG00000127837	ENST00000248450	true	true	0.99998	0.372	2.395		gnomAD	v4.1
AANAT	ENSG00000129673	ENST00000392492	true	true	0.00068842	1.283	-0.46577		gnomAD	v4.1
AAR2	ENSG00000131043	ENST00000320849	true	true	5.4204e-12	1.472	1.4072		gnomAD	v4.1
AARD	ENSG00000205002	ENST00000378279	true	true	0.00042882	1.719	-0.86864		gnomAD	v4.1
AARS1	ENSG00000090861	ENST00000261772	true	true	4.04e-14	0.772	1.0453		gnomAD	v4.1
AARS2	ENSG00000124608	ENST00000244571	true	true	1.8233e-15	0.752	1.8985		gnomAD	v4.1
AARSD1	ENSG00000266967	ENST00000427569	true	true	2.3928e-14	1.122	0.646		gnomAD	v4.1
AASDH	ENSG00000157426	ENST00000205214	true	true	3.2904e-18	0.946	0.90632		gnomAD	v4.1
AASDHPPT	ENSG00000149313	ENST00000278618	true	true	0.021762	0.754	0.43306		gnomAD	v4.1
AASS	ENSG00000008311	ENST00000417368	true	true	4.5131e-21	0.948	1.5093		gnomAD	v4.1
AATF	ENSG00000275700	ENST00000619387	true	true	2.9704e-13	1.033	0.88384		gnomAD	v4.1
AATK	ENSG00000181409	ENST00000326724	true	true	5.3635e-39	1.574	-5.6829	outlier_mis,outlier_syn	gnomAD	v4.1
ABAT	ENSG00000183044	ENST00000268251	true	true	1.1757e-10	0.871	0.75346		gnomAD	v4.1
ABCA1	ENSG00000165029	ENST00000374736	true	true	2.3118e-12	0.563	3.076		gnomAD	v4.1
ABCA10	ENSG00000154263	ENST00000690296	true	true	8.7244e-43	1.044	0.9632		gnomAD	v4.1
ABCA12	ENSG00000144452	ENST00000272895	true	true	4.8142e-17	0.582	2.9254		gnomAD	v4.1
ABCA13	ENSG00000179869	ENST00000435803	true	true	3.0027e-140	1.063	-0.097771		gnomAD	v4.1
ABCA2	ENSG00000107331	ENST00000341511	true	true	0.99999	0.436	3.7441		gnomAD	v4.1
ABCA3	ENSG00000167972	ENST00000301732	true	true	1.0831e-10	0.612	1.3112		gnomAD	v4.1
ABCA4	ENSG00000198691	ENST00000370225	true	true	3.4822e-43	0.786	1.3815		gnomAD	v4.1
ABCA5	ENSG00000154265	ENST00000392676	true	true	1.7677e-24	0.97	0.33724		gnomAD	v4.1
ABCA6	ENSG00000154262	ENST00000284425	true	true	2.9592e-33	1.041	-0.3291		gnomAD	v4.1
ABCA7	ENSG00000064687	ENST00000263094	true	true	7.922e-103	1.368	-3.5932	outlier_mis	gnomAD	v4.1
ABCA8	ENSG00000141338	ENST00000586539	true	true	9.1537e-44	1.086	0.53784		gnomAD	v4.1
ABCA9	ENSG00000154258	ENST00000340001	true	true	1.1383e-40	1.006	1.6275		gnomAD	v4.1
ABCB1	ENSG00000085563	ENST00000622132	true	true	1.891e-05	0.575	2.7727		gnomAD	v4.1
